context	label
Competitive activities can be more than just performance showcases which the best is recognized and the rest are overlooked.	0
The provision of timely, constructive feedback to participants on performance is an asset that some competitions and contests offer.	1
In a sense, all competitions give feedback.	1
For many, this is restricted to information about whether the participant is an award- or prizewinner.	1
The provision of that type of feedback can be interpreted as shifting the emphasis to demonstrating superior performance but not necessarily excellence.	1
The best competitions promote excellence, not just winning or “beating” others.	1
The emphasis on superiority is what we typically see as fostering a detrimental effect of competition.	1
Performance feedback requires that the program go beyond the “win, place, or show” level of feedback.	1
Information about performance can be very helpful, not only to the participant who does not win or place but also to those who do.	1
People from more individualistic cultural contexts tend to be motivated to maintain self-focused agency or control 1 as these serve as the basis of one’s self-worth.	1
With this form of agency comes the belief that individual successes 2 depending primarily on one’s own abilities and actions, and thus, whether by influencing the environment or trying to accept one’s circumstances, the use of control ultimately centers on the individual.	0
The independent self may be more 3 driven to cope by appealing to a sense of agency or control.	1
However, people from more interdependent cultural contexts tend to be less focused on issues of individual success and agency and more motivated towards group goals and harmony.	1
Research has shown 4 that East Asians prefer to receive, but not seek, more social support rather than seek personal control in certain cases.	1
Therefore, people 5 who hold a more interdependent self-construal may prefer to cope in a way that promotes harmony in relationships.	1
Regulations covering scientific experiments on human subjects are strict.	1
Subjects must give their informed, written consent, and experimenters must submit their proposed experiments to thorough examination by overseeing bodies.	1
Scientists who experiment on themselves can, functionally if not legally, avoid the restrictions associated with experimenting on other people.	1
They can also sidestep most of the ethical issues involved: nobody, presumably, is more aware of an experiment’s potentia hazards than the scientist who devised it.	1
Nonetheless, experimenting on oneself remains deeply problematic.	1
One obvious drawback is the danger involved; knowing that it exists does nothing to reduce it.	1
A less obvious drawback is the limited range of data that the experiment can generate.	1
Human anatomy and physiology vary, in small but significant ways, according to gender, age, lifestyle, and other factors.	1
"Experimental results derived from a single subject are, therefore,
of limited value; there is no way to know what the subject’s responses are typical or atypical of the response of humans as a group."	0
